ID,Title,Abstract,StoreId,AlternateTitle,ArticleType,Authors,companies,copyright,digitalObjectIdentifier,documentType,entryDate,isbn,language,languageOfSummary,originalTitle,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,notes,subjectClassifications,subjectTerms,subjects,FindACopy,Database
251,"Women's theologies, women's pedagogies: Liberating praxes of Latin American women educators in El Salvador, Nicaragua, Bolivia, and Argentina","In this dissertation, through semi-structured interviews with 36 female social movement participants and 3 male participants in El Salvador, Nicaragua, Bolivia, and Argentina, I ask, How do women in Latin American social movements perceive the influence of theology on these movements' pedagogies? I argue that through this work, the women cultivate what I deem individual theologies rooted in their understanding of their own reality. Collectively, this creates an ecumenical ""theology of struggle."" These interviews allowed me to investigate the connection of women to social movements, the connection of women to theology, and the possibility for educational change through social movements rooted in theology. In doing so, I bring to the field of Comparative and International Education a sociology of theology. In order to understand the participants' realities and responses, the intersections between the frameworks of Theology of Liberation, Pedagogy of Liberation, Social Movements, and Neoliberal Globalization must be understood. These intersections are rooted in developments in theology and the social sciences in Latin America and Europe, as well as in the United States, Africa, and Asia. Additionally, I rethink conceptualizations of education and religion, spirituality, and faith. Narrative inquiry and Participatory Action Research theory are employed as methodological strategies. I conclude that in this development work, the women have shown that theology is both a tool of analysis and a tool of action to address race and ethnic, class, and gender inequality. Ultimately, I argue that the women perceive, as in the central research question, the influence of theology on their movements' pedagogies as an influence that leads to the women's liberation. This concept of liberation motivates women to participate in the struggle against neoliberal globalization through nonformal and formal education that contributes, ultimately, to holistic community development.",275674976,,Dissertations & Theses," Jones, Lauren Ila
Jones
Ila
Lauren
Jones, Lauren Ila",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1997721761 , 46600561 , 66569 , 9781109686944 , 3401751 , 3401751", Dissertation/Thesis, 2009, 9781109686944, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/275674976?accountid=14496," 0340 Educational sociology , 0453 Womens studies , 0516 Adult education , 0550 Latin American Studies"," 0340 Educational sociology , 0453 Womens studies , 0516 Adult education , 0550 Latin American Studies"," 0340 Educational sociology , 0453 Womens studies , 0516 Adult education , 0550 Latin American Studies",," 0340 Educational sociology , 0453 Womens studies , 0516 Adult education , 0550 Latin American Studies"," Educational sociology , Womens studies , Adult education , Latin American Studies , Theology , El Salvador , Nicaragua , Bolivia , Argentina"," Education , Social sciences , Argentina , Bolivia , El Salvador , Nicaragua , Women educators",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Women%27s+theologies%2C+women%27s+pedagogies%3A++Liberating+praxes+of+Latin+American+women+educators+in+El+Salvador%2C+Nicaragua%2C+Bolivia%2C+and+Argentina&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Jones%2C+Lauren+Ila&amp;isbn=9781109686944&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
252,"Making sense of anarchism: The experiments with revolution of Errico Malatesta, Italian exile in London, 1889–1900","This thesis analyzes the activity and writings of the Italian anarchist Errico Malatesta in the period 1889-1900, during his residence in London, the headquarters of continental anarchism. Malatesta's thought and action allows us to study the organization and tactics of a significant segment of Italian and international anarchism. The key concern of the thesis is the rationality of anarchism, defined as coherence between desires, beliefs, and behaviour. I challenge not only the liberal and Marxist traditional historiographies of anarchism, but also more recent social history approaches. Each of these posits the irrationality of anarchism, cast as impossible aims, futile means, or absurd beliefs. In contrast, I regard rationality as a methodological principle of interpretation and a heuristic. By informing my account of Malatesta's anarchism with an explanatory ""principle of charity,"" I seek to illustrate and contest the historiographic pitfalls surrounding anarchism. In contrast to those historians who view unconcern for practical means, lack of organization, and spontaneism as standard features attributed to anarchism, I argue that the informal and opaque character of anarchist organization and the transnational dimension of the anarchist movement account for the sustainability of its action. I illustrate the continuity and change of Malatesta's tactics according to circumstances and experience and show the evolution of Malatesta's thought from an early anarchism inspired by the First International to a mature gradualist view. Through a critical comparison with twentieth century social science, I illustrate the coherence and sophistication of Malatesta's system of beliefs. Rather than being the endless repetition of necessarily doomed efforts, I conclude that Malatesta's theoretical and tactical evolution can be likened to the method of trial and error, whereby tentative solutions were put to the test of experience and revised accordingly. In this sense, Malatesta's efforts were his experiments with revolution. Keywords: anarchism; Errico Malatesta; historiography; principle of charity; transnationalism.",288323849,,Dissertations & Theses," Turcato, Davide
Turcato
Davide
Turcato, Davide",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2010220311 , 51700911 , 66569 , 9780494597903 , NR59790 , NR59790", Dissertation/Thesis, 2009, 9780494597903, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/288323849?accountid=14496," 0335 European history , 0615 Political science"," 0335 European history , 0615 Political science"," 0335 European history , 0615 Political science",," 0335 European history , 0615 Political science"," European history , Political science"," Social sciences , Great Britain , Italian exile , Italy , Malatesta, Errico , Revolution",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Making+sense+of+anarchism%3A+The+experiments+with+revolution%0Aof+Errico+Malatesta%2C+Italian+exile+in+London%2C+1889%E2%80%931900&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Turcato%2C+Davide&amp;isbn=9780494597903&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
253,Transforming constraint: Transnational feminist movement building in the Middle East and North Africa,"This dissertation focuses on the intersection of global and indigenous advocacy strategies in feminist women’s movements in the Middle East and North Africa (MENA). I explore strategies of resistance and innovation in three contexts: (1) Globally, I analyze a sample of MENA NGOs in a transnational women’s rights network, Women’s Learning Partnership (WLP) and their interactions in the international funding sphere; (2) Domestically, I examine a local Moroccan NGO’s strategy development process and their domestic and regional partnerships when organizing to reform the Moudawana (1999-2004); and (3) Regionally, I analyze inter-organizational collaboration and coalition building between three NGOs in the Campaign to Reform Arab Women’s Nationality (2001-2008). I locate the dissertation in a feminist activist framework and draw from diverse data sources, including years of fieldwork with WLP (2004-2008); participant observation and notes from five transnational women’s rights meetings (2005-2008); a content analysis of a sample of international funders’ and MENA feminist NGOs’ websites; and two in-depth case studies with data derived from historical analysis, three months of fieldwork in Morocco, interviews with Moroccan, Lebanese, and regional activists, and secondary document analysis. The findings provide deeper clarity into the strategic action of MENA feminist movements and the variety of social, political, and economic forces that shape their discourses and practices for achieving social change and gender equality. The findings contribute to the scholarly literature on transnational feminism and social movements and its intersection with the law.",304831614,,Dissertations & Theses," Pittman, Alexandra
Pittman
Alexandra
Pittman, Alexandra",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1835090421 , 42528941 , 66569 , 9781109273960 , 3366269 , 3366269", Dissertation/Thesis, 2009, 9781109273960, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304831614?accountid=14496," 0453 Womens studies , 0626 Sociology"," 0453 Womens studies , 0626 Sociology"," 0453 Womens studies , 0626 Sociology",," 0453 Womens studies , 0626 Sociology"," Womens studies , Sociology"," Social sciences , Africa , Feminist , Islamic family law , Law reform , Middle East , Middle East and North Africa , Nationality , Social movements , Transnational feminism",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Transforming+constraint%3A+Transnational+feminist+movement+building+in+the+Middle+East+and+North+Africa&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Pittman%2C+Alexandra&amp;isbn=9781109273960&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
254,The hermeneutics of the “Tirumantiram”,"In Śaiva Siddhānta, one of the main religious movements in Tamil Nadu, the Tirumantiram by Tirumūlar plays an important role. It is considered one of the main texts and though not read as much as some of the other more devotional texts or the more theological and philosophical texts, it nevertheless, stands out iconically as a key text for the movement and its followers. Śaiva Siddhānta is seen by many in Tamil Nadu, as a movement, which sometimes plays out in the discourse of the local Tamil culture, as an indigenous production. However, what is also of interest in this movement is its long relationship to pan-Indian movements and how it participates in these trans-local discourses. Here, I look at the role that the Tirumantiram plays in the production of these pan-Indian discourses, especially as they become localized in Tamil Nadu and how the text helps to bridge these two spheres—the local and global, as it gets co-opted into the local Tamil Śaiva Siddhānta movement. I also touch upon how this same text is used by a counter-cultural movement—the Tamil Cittar movement which, in opposition to the orthodox, high-caste Śaiva Siddhānta movement, uses this same very text but interprets it according to its own marginal discourse to make those same practices found in the text, available to a larger audience and set of practitioners. I do this by first looking at the Tirumantiram in a historical and social context as has been studied by some scholars. I then, give a brief synopsis of its contents by looking at the different sections and their contents. I follow this with an analyses of the ideas and practices found within the Tirumantiram by looking at them through a mainly Foucaultian enterprise, especially by using some of the ideas and methodologies Foucault developed when looking at ancient Greek and Roman cultures of the self, to look at how technologies of the self were used in order to construct meanings of subjectivity and relationships to truth. I do this by first looking at some of the general ideas found in the Tirumantiram and how they have been analyzed and explained through a corpus of commentarial productions. I then study some of the specific sections which deal with particular bodily and mental practices, in order to contextualize the discourses of Śaiva Siddhānta, especially the concepts of devotion and grace, and how they are embedded even within physical practices. I conclude that the Tirumantiram played and plays an important role in the formation of subjectivity and ethics in present day Tamil Nadu.",304835937,,Dissertations & Theses," Mena, Carlos Ney
Mena
Ney
Carlos
Mena, Carlos Ney",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 2042633471 , 52336031 , 66569 , 9781109750423 , 3402689 , 3402689", Dissertation/Thesis, 2009, 9781109750423, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304835937?accountid=14496," 0320 Religious history , 0322 Religion , 0322 Philosophy , 0638 South Asian Studies"," 0320 Religious history , 0322 Religion , 0322 Philosophy , 0638 South Asian Studies"," 0320 Religious history , 0322 Religion , 0322 Philosophy , 0638 South Asian Studies",," 0320 Religious history , 0322 Religion , 0322 Philosophy , 0638 South Asian Studies"," Religious history , Religion , Philosophy , South Asian Studies , Exegesis & hermeneutics , Theology , Tamil Nadu India"," Philosophy, religion and theology , Social sciences , Cittar , Saiva Siddhanta , Siddhar , Tamil , Tirumantiram , Tirumular",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+hermeneutics+of+the+%E2%80%9CTirumantiram%E2%80%9D&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Mena%2C+Carlos+Ney&amp;isbn=9781109750423&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
255,"The magic of words: Mexico, the dispute for the nation","Since the nineteen twenties, the Mexican State has imposed an economic, social and cultural project of the nation through the Partido Revolucionario Institucional (PRI). The state eliminated by decree racial differences, regional divergences, and gender distinctions. However, people contested and sought alternative political and cultural spaces to present their own national projects. Literature, as a symbolic zone, became one of the spaces where intellectuals disputed cultural codes of nationality. This work analyzes the dispute over the Mexican nation during two crucial historical moments: first, the student movement in Mexico City of 1968; and second, the indigenous rebellion of 1994 in the state of Chiapas lead by the Ejército Zapatista de Liberación Nacional (EZLN). In the sixties, intellectuals prepared linguistic codes under the premise of ""revolutionary nationalism"", a concept drawn from the Mexican Revolution of 1910. In the nineties, the government abandoned this concept and instead, followed the premise of globalization. One example was the signing of international treaties like the North American Free Trade Agreement (NAFTA). In contrast and in opposition to the government global project, the indigenous Zapatista movement followed the idea of cultural particularities. Thus this dissertation identifies how literature captures, through the narratives and discursive strategies used by intellectuals, the debate on the project of the nation. It analyzes two presidential reports, numerous essays and newspaper articles, and reveals the rhetorical discourse used by writers.",304844393,,Dissertations & Theses," Cardoso, Jaime
Cardoso
Jaime
Cardoso, Jaime",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1953780091 , 50601301 , 66569 , 9781109570861 , 3391974 , 3391974", Dissertation/Thesis, 2009, 9781109570861, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304844393?accountid=14496, 0312 Latin American literature, 0312 Latin American literature, 0312 Latin American literature,, 0312 Latin American literature, Latin American literature," Language, literature and linguistics , Chiapas , Ejercito Zapatista de Liberacion Nacional , Mexico , Nation , Student movement",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+magic+of+words%3A++Mexico%2C+the+dispute+for+the+nation&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Cardoso%2C+Jaime&amp;isbn=9781109570861&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
256,The spirits of the times: The Mexican spiritist movement from reform to revolution,"This is a study of the religious-philosophy of spiritism and its manifestation as a social movement in Mexico at the turn of the twentieth century. It analyzes spiritism as a modern form of mysticism and as an ideology of social-political consequence. Chapters examine spiritist participation in debates of class and culture, the struggles between secular and religious authorities, shifting gender norms, and the growing opposition movement to the state under Porfirio Díaz. This dissertation argues that the spiritist movement generally reinforced and justified the trend of modernization for the few but that a minority of spiritists interpreted and applied the ideals of spiritual equality and transcendence towards the ends of social equality for women and the popular classes. While rooted in the Mexican setting, the work engages with transnational and comparative scholarship on esoteric religion and modernity, and addresses theoretical questions of wide interest to scholars of religion, social movements, science, medicine, the body, gender, and identity.",304848473,,Dissertations & Theses," Schraeder, Lia Theresa
Schraeder
Theresa
Lia
Schraeder, Lia Theresa",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1819513471 , 47533851 , 66569 , 9781109217643 , 3362507 , 3362507", Dissertation/Thesis, 2009, 9781109217643, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304848473?accountid=14496," 0318 Religion , 0336 Latin American history , 0422 Philosophy , 0700 Social structure"," 0318 Religion , 0336 Latin American history , 0422 Philosophy , 0700 Social structure"," 0318 Religion , 0336 Latin American history , 0422 Philosophy , 0700 Social structure",," 0318 Religion , 0336 Latin American history , 0422 Philosophy , 0700 Social structure"," Religion , Latin American history , Philosophy , Social structure"," Philosophy, religion and theology , Social sciences , Magnetism , Mexican religion , Mexico , Mysticism , Secularization , Social movements , Spiritism , Spiritualism",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+spirits+of+the+times%3A+The+Mexican+spiritist+movement+from+reform+to+revolution&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Schraeder%2C+Lia+Theresa&amp;isbn=9781109217643&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
257,Global Jihadism as a transnational social movement: A theoretical framework,"This study examines the phenomenon of Global Jihadism through the lens of modern social movement theory. Through an in-depth analysis of its history, beliefs, and practices, we will argue that Global Jihadism has taken on many of the same characteristics as other social movements of the 20 th century by, (1) Appealing to a set of familiar symbols (in this case, religious , rather than cultural or societal) to construct a collective identity that transcends all cultural, national, ethnic, and gender boundaries, with the aim of mobilizing individuals to rise up and effect radical social change. (2) Employing frame alignment techniques to create in-groups and out-groups (Protagonist Framing), to identify and vilify the enemy (Antagonist Framing), and to mark bystanders as either sympathetic or antagonistic to the movement (Audience Framing). (3) Framing legitimate grievances, which are named and connected to other grievances within a larger frame of meaning (a Master Frame), so as to communicate a uniform message to a large portion of the population. (4) Employing consensus mobilization techniques to identify a problem, assign blame, suggest solutions and remedies, and develop tactics and strategies for mobilization, all in an attempt to direct diverse values, interests, and ideas into collective action. By treating Global Jihadism as a social movement and noting the parallels between it and similar movements of the last century—all of which were replete with individuals who existed on the radical fringes of the political spectrum and all of which brought together a wide array of political views, ethnic backgrounds, socioeconomic statuses, and ideological causes under a master frame in which grievances were identified, blame assigned, solutions suggested, and participants mobilized—can we more effectively confront the security challenges posed by this little understood but much-feared ideology. The lesson to be learned from the rise and fall of the last century's social movements is that only when the movements' grievances were addressed and their specific concerns gradually “co-opted” into mainstream society, were the movements' members de-radicalized.",304852928,,Dissertations & Theses," Aslan, Reza
Aslan
Reza
Aslan, Reza",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1919384711 , 49725741 , 66569 , 9781109511871 , 3385753 , 3385753", Dissertation/Thesis, 2009, 9781109511871, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304852928?accountid=14496," 0320 Religious history , 0626 Sociology"," 0320 Religious history , 0626 Sociology"," 0320 Religious history , 0626 Sociology",," 0320 Religious history , 0626 Sociology"," Religious history , Sociology , Social change , War , Islamism , Theory"," Philosophy, religion and theology , Social sciences , Al-Qaeda , Jihadism , Social movements , War on Terror",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Global+Jihadism+as+a+transnational+social+movement%3A+A+theoretical+framework&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Aslan%2C+Reza&amp;isbn=9781109511871&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
258,"Water for life, not for profit: Globalization, development, and water struggles in India","This dissertation is a multi-sited ethnography of environmental/anti-privatization water movements in three sites in India: New Delhi, Delhi; Mumbai, Maharashtra; and Plachimada, Kerala. The social movements are simultaneously environmental movements to ensure people’s access to water and anti-privatization movements against the private control of water supplies. The water struggles all began near the beginning of the twenty-first century (between 2002 and 2005) as responses to the World Bank and Indian government’s development strategy of foreign investments in public utilities (water) and private industry (the Coca-Cola Corporation). Two of my case studies concentrate on India’s largest cities, Delhi and Mumbai, where citizens opposed the government and Bank’s attempts to privatize the public water utilities. The other case study in the rural village of Plachimada, Kerala, investigates the people’s movement against the Coca-Cola Corporation because of its depletion and pollution of the community’s ground water. While the conflict in Delhi ended in 2005, the water movements in Mumbai and Plachimada are on-going. Through an in-depth analysis of these popular water struggles, I analyze the factors that contribute to resource movements, the links between them, and the different sites, actors, discourses, and dimensions of water conflicts. My research advances scholarship on Third World environmental movements and identifies the need for a new framework which I call the “new environmentalism.” This approach encourages researchers to consider the numerous layers of resource struggles such as the different actors, sites, interests, knowledge, values, and meanings within movements. I develop this paradigm using ethnographic evidence from eight months of field work in India and seventy in-depth interviews with: local residents, agricultural laborers, and farmers; anti-privatization activists and their pro-privatization opponents; government officials; employees of transnational corporations; community organizers; scholars; current and former Coca-Cola employees; and members of non-governmental organizations, trade unions, and women’s groups. My analysis is supplemented by an examination of movement literature and government and World Bank project documents on each of the proposed water projects. Throughout this dissertation I aim to explain why water conflicts occur and how we can prevent resource exploitation and engender new forms of sustainable water governance.",304853110,,Dissertations & Theses," Bywater, Krista Anne
Bywater
Anne
Krista
Bywater, Krista Anne",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1914155971 , 49725751 , 66569 , 9781109482812 , 3379445 , 3379445", Dissertation/Thesis, 2009, 9781109482812, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304853110?accountid=14496," 0630 Public policy , 0700 Social structure"," 0630 Public policy , 0700 Social structure"," 0630 Public policy , 0700 Social structure",," 0630 Public policy , 0700 Social structure"," Public policy , Social structure"," Social sciences , Development , Envirornmental movements , Globalization , India , Resource conflicts , Third world environmentalism , Water privatization",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Water+for+life%2C+not+for+profit%3A+Globalization%2C+development%2C+and+water+struggles+in+India&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Bywater%2C+Krista+Anne&amp;isbn=9781109482812&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
259,"The circulation of transatlantic ideas and people in Cuban slave society, 1791-1844","This dissertation explores the circulation of people and ideas in Cuba during the Age of Revolutions. It analyzes how the mobility of political, anti-slavery, and abolitionist ideas, and the traffic of people who espoused these kinds of ideas, influenced Cuban colonial authorities' efforts at social control. Conversely, it also examines the impact these ideas had on free people of color and slaves in Cuba during the period 1791 to 1844, exploring the connection between ideologies of liberty, freedom, and equality and popular resistance. The central claim is that slaves and free people of color developed popular networks of communication and mobility that operated outside of the colonial government's scope of authority and challenged efforts at social control. As social spaces beyond the purview of authorities, these networks provided free blacks and slaves the opportunities to learn of and engage with transnational ideas. Moreover, people of African descent, slave and free, utilized their experiences of living in Cuban slave society to radicalize the transnational ideas they appropriated from the Atlantic world, including memories brought to the Caribbean by some African-born slaves. This project treats the movement of people and ideas as a serious subject of historical inquiry, tracing when, how, and under what conditions ideas reached slaves and free people of color, and uncovering points of contact between these subordinate groups and transatlantic ideas.",304853615,,Dissertations & Theses," Paul, Eric A.
Paul
A.
Eric
Paul, Eric A.",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1917155531 , 49777851 , 66569 , 9781109487398 , 3379637 , 3379637", Dissertation/Thesis, 2009, 9781109487398, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304853615?accountid=14496," 0432 Caribbean Studies , 0582 Modern history"," 0432 Caribbean Studies , 0582 Modern history"," 0432 Caribbean Studies , 0582 Modern history",," 0432 Caribbean Studies , 0582 Modern history"," Caribbean Studies , Modern history"," Social sciences , Age of Revolutions , Atlantic world , Colonial Cuba , Cuba , Free people of color , Popular resistance , Slavery",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+circulation+of+transatlantic+ideas+and+people+in+Cuban%0Aslave+society%2C+1791-1844&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Paul%2C+Eric+A.&amp;isbn=9781109487398&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
260,"Beyond the Han River miracle: Soccer, soap operas, stem cells, and sanitation","My dissertation, Beyond the Han River Miracle: South Korean Soccer, Soap Operas, Stem Cells, and Sanitation , explores four interrelated phenomena through which Koreans are making outward -looking attempts to project South Korea as a “global” nation, a crucial marker of contemporary social identity for many South Koreans. I study variously positioned actors—bureaucrats, scientists, fans, and culture workers—and their endeavors to turn Korea into a new “cultural” power in order to make it relevant in a multi-polar world. My project builds upon work in Korean Studies and the anthropology of globalization, but takes this literature in a new direction by focusing on state and civil society-led initiatives to create, disseminate, and implement new definitions of Korean culture and society. Each chapter of my dissertation explores four self-consciously ""global"" projects in contemporary Korea. These are: (1) the “Better Korea Movement,” an organization instituted in order to “improve” South Korea before its hosting of the 2002 FIFA World Cup; (2) the Korean Wave and the role of Arirang TV, a state-funded English-language global broadcasting station with the sole purpose of publicizing South Korea throughout the world; (3) a state-led biotechnology project in which the lead scientist was found to have fabricated his data; (4) and the World Toilet Association, an international NGO formed in Korea in 2007 to aid in the global efforts of improving sanitation through toilets. These sites are linked to national phenomena which produced massive social transformation, popular and governmental support, as well as civic unrest in South Korean society. Each sparked debates over national identity, South Korea’s place as an emerging nation in a globalizing world, and in particular, its status as a “modern” nation whose leaders and people have a real sense of impacting the whole of humanity. Incorporating soccer, soap operas, stem cells, and sanitation within a singular analytical framework produces a construction in which to examine the competing visions and processes for globalizing South Korea.",304857912,,Dissertations & Theses," Choi, Yoon S.
Choi
S.
Yoon
Choi, Yoon S.",, Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1763137161 , 45036141 , 66569 , 9781109151954 , 3355792 , 3355792", Dissertation/Thesis, 2009, 9781109151954, English, English,,2009,ProQuest Dissertations and Theses,2009,https://search.proquest.com/docview/304857912?accountid=14496, 0326 Cultural anthropology, 0326 Cultural anthropology, 0326 Cultural anthropology,, 0326 Cultural anthropology, Cultural anthropology," Social sciences , Civil society , Globalization , Korea , Media , Nationalism , Sanitation , Soap operas , Soccer , Stem cells",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Beyond+the+Han+River+miracle%3A+Soccer%2C+soap+operas%2C+stem+cells%2C+and+sanitation&amp;issn=&amp;date=2009-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Choi%2C+Yoon+S.&amp;isbn=9781109151954&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
