ID,Title,Abstract,StoreId,AlternateTitle,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,isbn,language,languageOfSummary,originalTitle,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,notes,subjectClassifications,subjectTerms,subjects,FindACopy,Database
3532,Development and resistance: Rural resistance to economic development practices in Western Samoa,"In this thesis I show that contemporary development practices in Western Samoa are the product of a historical encounter between two social, political, and cultural worlds; the Samoan world characterized by a kin-ordered mode of production and the world of global capitalism. That encounter culminated in the incorporation of the Independent State of Western Samoa created and defined by members of a Samoan political elite in collaboration with members of the New Zealand colonial elite. Since the incorporation of the independent State of Western Samoa, successive government elites in collaboration with aid donors have attempted to implement a state-centered model of and for development directed toward the goals of national self-reliance and a condition of improved economic well-being for all Samoans. Government strategies have focused on the development of relations with patron states that provide aid in the form of grants, loans, technology, and technicians for investment, for the most part, in large state-owned commercial ventures and infrastructural projects. Unfortunately, government strategies have failed to achieve either a movement toward national self-reliance or enhanced economic well-being for the majority of Samoans. The Government development practices have not effectively mobilized and utilized rural resources, specifically, the rural institutions of land and labour, as tools for raising productivity in the rural sector of the economy. Instead the production of export crops has stagnated or declined, and government attempts to utilize land for forestry or infrastructural projects have been met, more of the than not, with resistance from people living in the rural areas. Furthermore, young Samoans continue to migrate out of the rural areas leaving their families short of labour and struggling to produce a surplus in addition to their subsistence requirements.",89158675,,Dissertations & Theses," Luther, Eudene Onilee
Luther
Onilee
Eudene
Luther, Eudene Onilee", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 739484251 , 19187061 , 66569 , 0612136671 , 9780612136670 , NN13667 , NN13667", Dissertation/Thesis, 1996," 0612136671 , 9780612136670", English, English,,1996,ProQuest Dissertations and Theses,1996,https://search.proquest.com/docview/89158675?accountid=14496," 0326 Cultural anthropology , 0501 Economics , 0999 Urban planning , 0999 Area planning & development"," 0326 Cultural anthropology , 0501 Economics , 0999 Urban planning , 0999 Area planning & development"," 0326 Cultural anthropology , 0501 Economics , 0999 Urban planning , 0999 Area planning & development",," 0326 Cultural anthropology , 0501 Economics , 0999 Urban planning , 0999 Area planning & development"," Cultural anthropology , Economics , Urban planning , Area planning & development"," Social sciences , Samoa , rural communities",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Development+and+resistance%3A+Rural+resistance+to+economic+development+practices+in+Western+Samoa&amp;issn=&amp;date=1996-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Luther%2C+Eudene+Onilee&amp;isbn=0612136671&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3533,"British ideological movements and irish politics, 1865-1925","This thesis is concerned with the movement in British public opinion towards the acceptance of Irish self-government in the years 1865-1925. The thesis is divided into three parts, each of which investigates an ideological grouping (largely represented in the periodical or newspaper press) which contributed significantly to this movement. The first part is concerned with the British followers of Auguste Comte in the late nineteenth century. The Comtean Positivists were the first significant group of educated Britons to endorse Irish independence. Although they derived these unusual convictions from the most visionary features of Comte's system, their advocacy significantly affected the late nineteenth-century debate on Anglo-Irish relations. The second part concerns new Liberalism. It is generally thought that Edwardian Liberal advocates of social reform were apathetic about Ireland; but one tradition within radical Liberalism was persistent and coherent in its support of Irish self-government. This group helped to popularise Home Rule from 1886, until the Anglo-Irish war of 1919-21. The final section concerns Imperialists (or advocates of Imperial ""consolidation"") in the first quarter of the twentieth century. Unlike the other two groups, these were not Home Rulers by conviction, and they endeavoured to preserve as much constitutional unity as possible in the United Kingdom. But in the second decade of the twentieth century, they came to regard some form of Irish autonomy as inevitable, and, in some cases, assisted the establishment of the Irish Free State in official capacities. This study concludes that changing British perceptions of the Empire and of the international community in these years produced a significantly more favourable attitude in Britain to the idea of Irish self-government. Indeed, it was partly because attitudes were changed by events exogenous to Ireland itself that problems remained after 1925 both with Ireland, and in British perceptions of the country.",1767630894,,Dissertations & Theses," Peatling, G. K.
Peatling
K.
G.
Peatling, G. K.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3961696671 , 44652251 , 101309 , U095322 , U095322", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/1767630894?accountid=14496, 0335 European history, 0335 European history, 0335 European history, Bibliographic information obtained from the British Library., 0335 European history, European history," (UMI)AAIU095322 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=British+ideological+movements+and+irish+politics%2C+1865-1925&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Peatling%2C+G.+K.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3534,"Society, politics and economics in mazandaran, persia, 1848-1914","This thesis discusses the economic, politics and society of M&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;zandar&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;n in the period 1848-1914, with a view to deepening our understanding of provincial history in the Q&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;j&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;r period. The first chapter looks at M&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;zandar&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;n by 1848, considering in particular its social structure and economic system. In the second chapter it considers the impact of the great powers, especially Russian policies, on both society and local powers in the province. Chapter III looks in detail at economic change, discussing in particular the influence of the international economy on the province. Political movements in rural areas are the subject of Chapter IV where the significance of local factors is emphasized in the analysis of the B&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;b uprising. Chapter V concentrates on urban politics and draws attention to the rise of new groups especially the local merchants and the intelligentsia and their links with the 'ulam&lt;IMG WIDTH=7 HEIGHT=9 ALT=""a"" SRC=""/inline/abarabove.gif""&gt;. The final chapter follows the course of the Constitutional Revolution, demonstrating the inter-action between national and local politics.",1771542002,,Dissertations & Theses," Kazembeyki, Mohammed Ali
Kazembeyki
Ali
Mohammed
Kazembeyki, Mohammed Ali", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 3975025681 , 102729412 , 101309 , U532062 , U532062", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/1771542002?accountid=14496, 0332 History, 0332 History, 0332 History, Bibliographic information obtained from the British Library., 0332 History, History," (UMI)AAIU532062 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Society%2C+politics+and+economics+in+mazandaran%2C+persia%2C+1848-1914&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Kazembeyki%2C+Mohammed+Ali&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3535,Carib to creole: contact and culture exchange in dominica,"This is an ethnohistorical study of the Carib people who inhabit the Carib Territory (officially called the Carib Reserve), on the northeastern coast of Dominica which is one of the islands of the Lesser Antilles in the eastern Caribbean. It analyses the historical background of the Caribs from the time of their initial contact with Europeans and Africans through the period of colonisation, and considers the effects which the centuries of culture exchange have had on the indigenous societies of Dominica up to the present. This heritage is considered in relation to the cultural revival movement which has developed since the 1980s as part of the hemispheric action being initiated by indigenous peoples of the Americas for greater recognition and rights. Promoting Carib identity in this context has become important to the community on many levels. The thesis assesses the manner in which the Caribs are using their history, material culture, and association with their land to articulate their indigenousness in the face of the centuries of cultural and biological admixture with people of European and African descent known as Creoles. The thesis concludes that although it may be true that these symbols are distorted and exaggerated, they are not entirely invented, for they originate in the history and culture of the Carib people. Even if, in many ways, the Caribs have become as Creole as their fellow countrymen, the social fact is, that in the present circumstances, they see it as important and advantageous to define themselves as Caribs in their engagement with Creole nationalism and the world beyond. By promoting their association with the cultural markers of Caribness, their cultural activists seek to engage with the current international concern and interest in indigenous groups in the hope that it might eventually reap some good for their people.",301491240,,Dissertations & Theses," Honychurch, Lennox
Honychurch
Lennox
Honychurch, Lennox", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1757610061 , 44651381 , 101309 , U097414 , U097414", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/301491240?accountid=14496, 0326 Cultural anthropology, 0326 Cultural anthropology, 0326 Cultural anthropology, Bibliographic information obtained from the British Library., 0326 Cultural anthropology, Cultural anthropology," (UMI)AAIU097414 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Carib+to+creole%3A+contact+and+culture+exchange+in+dominica&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Honychurch%2C+Lennox&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3536,"The personal narrative of edith simcox: an annotated transcription of her autobiography of a shirt maker, and detailed introduction of her life and works","This thesis is concerned with the life and works of Edith Jemima Simcox (1844-1910), and offers a detailed introduction to, and annotated transcription of, her holograph journal, Autobiography of a Shirt Maker (1876-1900). The Introduction provides a five-part analysis of Simcox's journal, comprising: i) a biographical outline of Simcox's life, setting her within her social, political, intellectual and cultural milieux; ii) a consideration of the critical responses that the Autobiography has provoked since it was first (partially) transcribed in 1961; iii) the interpretive and methodological issues raised in working on the Autobiography, and detailed examination of such matters as context, form, voice and history/truth. iv) a discussion of the journal as a 'passionate landscape of selfhood' in relation to two main concerns: first, Simcox's political activism in such movements as women's trades unionism, women's suffrage, the women's Co-operative organisation, the 2 nd International, inter alia, and second, her devotion and love for the writer George Eliot; v) a conclusion, evaluating ways in which the Autobiography can be seen as a vital intellectual outlet. The transcription of Simcox's journal is fully annotated, with an accompanying note on the text, details on the editorial apparatus, and full Index of names, places, texts and social, political and cultural organisations.",301492120,,Dissertations & Theses," Polkey, P. R.
Polkey
R.
P.
Polkey, P. R.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1757683111 , 44672611 , 101309 , U095253 , U095253", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/301492120?accountid=14496, 0593 British and Irish literature, 0593 British and Irish literature, 0593 British and Irish literature, Bibliographic information obtained from the British Library., 0593 British and Irish literature, British and Irish literature," (UMI)AAIU095253 , Language, literature and linguistics",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+personal+narrative+of+edith+simcox%3A+an+annotated+transcription+of+her+autobiography+of+a+shirt+maker%2C+and+detailed+introduction+of+her+life+and+works&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Polkey%2C+P.+R.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3537,"Worth its weight: gold, women and value in north west india","This thesis looks at gold as a highly valued substance in Indian society generally, and, more specifically, as a type of property which is frequently held by women. The first chapter considers the presence of gold in many different social institutions and shows how gold moves in similar ways in each. It is in the movement of gold between persons, and in the changing emphases on the potential of the substance, that the value of gold is to be found. Exchanges of gold give the gold bazaar a unique form. The chapter on markets sees the bazaar as the local articulation of a global commodity. The market is viewed as a social structure within which the primary process is the negotiation of the purity of gold. The chapter dealing with saving, lending and spending shows how, in the Indian context, the possibility of borrowing money against the security of gold means that women view investment in gold as a form of saving. The purchase of gold is simultaneously saving and consumption. As a valuable and potentially economically productive substance, the importance of gold has generally been underestimated in explanations of dowry. By looking at gold as an alternative form of property to land, this chapter seeks to understand the meaning of women's ownership of gold. Gold in India is perceived as embodying the same ambiguous mixture of good and evil as women. The chapter on adornment deals with both the symbolic and the practical uses of gold and other precious things, both worn on the body and consumed in medicine. This thesis uses a single substance as its main focus in an attempt to expand what can be seen as 'economic' within anthropology. To this end feminist critiques of the idea of economy are used.",301500925,,Dissertations & Theses," Ward, Helen
Ward
Helen
Ward, Helen", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1757470691 , 44609381 , 101309 , U093498 , U093498", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/301500925?accountid=14496, 0326 Cultural anthropology, 0326 Cultural anthropology, 0326 Cultural anthropology, Bibliographic information obtained from the British Library., 0326 Cultural anthropology, Cultural anthropology," (UMI)AAIU093498 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Worth+its+weight%3A+gold%2C+women+and+value+in+north+west+india&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Ward%2C+Helen&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3538,The role of management control systems in privatisation: a labour process analysis of a Bangladeshi case study.,"The study is concerned with accounting controls in the social and organisational context of Bangladesh, focusing on recent privatisation issues. The assumption of development economists and policy makers, influenced by neo-classical economics, is that a change in ownership will be associated with superior management performance through improved accounting controls. This study, based on an intensive case study, argues that such assumptions can be over-simplistic and erroneous. The study analyses management controls in the light of the labour process theory paying due attention to intra-organisational conflict, the manufacture of workers' consent and inherent organisational contradictions in the context of wider socio-political factors. Thus, the methodological focus of the research resides in the political economy of work and organisations. In particular, it seeks to extend Burawoy's theorisation of organisation control and consent to accounting in the context of privatisation with a developing country. This theoretical model perceives control as the outcome of interactions of external and internal factors. Accounting is implicated in those interactions. The data for this study was collected from one organisation which had three phases of ownership: public sector, partial privatisation and privatisation. The data covered the historical changes of state policies, trade union movements in Bangladesh and the transformations of internal controls. An examination of the empirics thus collected helps explain the change of controls including accounting in a wider environment. The study argues that internal control processes are conditioned by external issues. For example, during the pre-privatisation periods, PC's control was politicised and bureaucratic due to the influence of state politics and strong trade union movements. Following the changes of external issues, that is, changes in state policies and weaker trade union movements, which are influenced by international aid agencies, control processes in the privatised firm have substantially changed.",301508305,,Dissertations & Theses," Uddin, S.N.
Uddin
S.N.
Uddin, S.N.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1757689551 , 44675761 , 101309 , U095728 , U095728", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/301508305?accountid=14496, 0629 Labor relations, 0629 Labor relations, 0629 Labor relations,, 0629 Labor relations, Labor relations," (UMI)AAIU095728 , Social sciences",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=The+role+of+management+control+systems+in+privatisation%3A++a+labour+process+analysis+of+a+Bangladeshi+case+study.&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Uddin%2C+S.N.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3539,"Myth, prejudice and vested interest: political and cultural influences on history teaching in British secondary schools, 1945 - 1995.","Introduction. The introduction identifies a variety of pressures bearing on secondary school history, analysing their role in producing substantial changes, short-term experiments and reversals of policy over fifty years. Chapter 1. Some Academic Controversies and Antecedents. This chapter traces the transmission of ideas from major historians through universities to school departments, drawing on evidence from the Historical Association, the JMB and a representative sample of school textbooks. Chapter 2. School History and the Politics of Post-War Reconstruction. Chapter 2 examines evidence from two major post-war developments; the improvement of international understanding and the provision of a varied and effective humanities education for senior pupils in the new technical and secondary modern schools. The increasing importance of educational sociology in curriculum theory is also explored. Chapter 3. Integrated Humanities and Social Studies: Challenge or Support to History? The main issue discussed here is the promotion of integrated humanities courses and social studies by the Schools Council and the resultant challenge to history's place on the timetable. The new movement and the traditionalist responses it provoked are considered with reference to the Nuffield Humanities, MACOS and Keele projects, together with some school-based initiatives. Chapter 4. The Defence of History. Chapter 4 reviews early proposals for improvement such as textbook reform, school-based experiments, and the application of Bloom's 'objectives' theory, mainly as interpreted by Coltham and Fines. This section is followed by an analysis of the Schools Council 13-16 History Project (1972) (SCHP) and the controversy surrounding it.",301526182,,Dissertations & Theses," Leighton, J.
Leighton
J.
Leighton, J.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1757654331 , 44665651 , 101309 , U095411 , U095411", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/301526182?accountid=14496, 0520 Education history, 0520 Education history, 0520 Education history,, 0520 Education history, Education history," (UMI)AAIU095411 , Education",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Myth%2C+prejudice+and+vested+interest%3A++political+and+cultural+influences+on+history+teaching+in+British+secondary+schools%2C+1945+-+1995.&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Leighton%2C+J.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3540,Church and politics in the theology of Jose Miguez-Bonino and Allan Boesak.,"Since the early 1970s, many Christians have come to the realisation that the churches world-wide have a profound impact on the shaping of a nation's socio-economic and political agenda. Issues and debates within the Church are shaped by the interplay between intra-Church theological and ecclesiastical concerns and national/international ideological and institutional patterns to which churches must adapt. Newly emerging socio-political situations, such as the emergence of democracy in South Africa, complicate the Church's continued search for its prophetic voice: What does it mean to have a concern for social justice, peace, and to maintain a ""preferential option for the poor"" when the world's political order is continually in transition? This thesis explores the debates that surround the Church's relationship to politics by focusing on the contemporary theological movement known as ""liberation theology"" and objections that have been raised by its more conservative and liberal opponents. It specifically examines and compares the way Jose Miguez-Bonino from Latin America and Allan Boesak from South Africa, have responded to the theological challenges set by their surrounding social realities and how they have answered the criticisms from Europe and North America. We argue that the theology of these two men offers a more adequate understanding of the relationship between Church, theology, and politics than their critics because of the importance Miguez-Bonino and Boesak give to a praxis that reflects the needs of the poor and oppressed.",301549822,,Dissertations & Theses," Poit, J.C.
Poit
J.C.
Poit, J.C.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 1757638801 , 44660211 , 101309 , U088818 , U088818", Dissertation/Thesis, 1997,, English, English,,1997,PQDT - UK & Ireland,1997,https://search.proquest.com/docview/301549822?accountid=14496, 0469 Theology, 0469 Theology, 0469 Theology,, 0469 Theology, Theology," (UMI)AAIU088818 , Philosophy, religion and theology",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Church+and+politics+in+the+theology+of+Jose+Miguez-Bonino+and+Allan+Boesak.&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Poit%2C+J.C.&amp;isbn=&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses: UK & Ireland,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3541,"Brutal responsibilities and second-class citizens: Women soldiers, martial citizenship, and feminist anti-militarism","This dissertation addresses women's incorporation to the United States' armed forces by placing it in political, historical, and social context. From common roots in the women's movements of the 1960s and 1970s, women have been approaching the military from two perspectives: feminist antimilitarists have been criticizing the military for its masculinist culture, while women interested in joining the military have insisted that it is their right to participate, and that the military is the sine qua non of full citizenship. This project explores a series of questions about women soldiers, women's citizenship, feminist antimilitarism, and the culture of patriarchal militarism to untangle some of the interesting and troublesome questions about women and the military. The method of analysis used in the dissertation is interdisciplinary, combining historiography, sociology, ethnography, and political theory in the United States' context to view a series of historical moments in congressional testimony, court cases addressing equality, feminist movements for equality, feminist antimilitarist perspectives on and responses to the military, and histories of martial citizenship, including women's. These materials are investigated for their political importance in shaping public understandings of the military as gendered, for their importance in building a discourse of expanded citizenship claims, and for their contributions to shifting the terrain of citizenship and equality. The dissertation suggests, in view of these materials, that feminist scholars of the military, and of militarism, must account for the changing demographics of the armed forces by examining the contested meanings of citizenship, the effects of technological advances, and the economic imperatives that together comprise the conditions through which women access advancement in the military. Furthermore, the dissertation demonstrates that women's entry to the military is a critical juncture for several reasons: (1) It is a challenge to the structured masculinity of military culture, (2) It informs studies of the international economies in which women become the primary, but low-waged, workers, and (3) It marks a need for feminist antimilitarists to re-evaluate their approach to the topics of soldiering, women, and peace.",304332588,,Dissertations & Theses," Feinman, Ilene Rose
Feinman
Rose
Ilene
Feinman, Ilene Rose", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 740127771 , 28358181 , 66569 , 0591484099 , 9780591484090 , 9738149 , 9738149", Dissertation/Thesis, 1997," 0591484099 , 9780591484090", English, English,,1997,ProQuest Dissertations and Theses,1997,https://search.proquest.com/docview/304332588?accountid=14496," 0323 American studies , 0337 American history , 0615 Political science , 0453 Womens studies"," 0323 American studies , 0337 American history , 0615 Political science , 0453 Womens studies"," 0323 American studies , 0337 American history , 0615 Political science , 0453 Womens studies",," 0323 American studies , 0337 American history , 0615 Political science , 0453 Womens studies"," American studies , American history , Political science , Womens studies"," Social sciences , soldiers",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Brutal+responsibilities+and+second-class+citizens%3A+Women+soldiers%2C+martial+citizenship%2C+and+feminist+anti-militarism&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=Feinman%2C+Ilene+Rose&amp;isbn=0591484099&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"Dissertations & Theses @ University of California,ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
3542,"Women in transition, health care in translation: Nicaraguan women and the challenge of cervical cancer prevention","Nicaragua, a small Central American country, has suffered from centuries of colonial exploitation, social and political unrest, and inconceivable numbers of natural disasters. The health of the population, especially women, reflects the harsh realities of their lives. Extreme poverty, religious conservatism, machismo, and social and interpersonal violence, neglect, and sexual exploitation have left a legacy of high fertility, chronic pelvic pain, and extremely high rates of cervical cancer among women. Despairing of government, religious, or family support, women themselves have organized a vast network of services including new models of health care. Women's clinics, supported by the international women's health movement, have sprung up all over the country since 1990 to provide a wide variety of services for and by women. These clinics are widely perceived as positively affecting the emotional well being of their clients. A key service provided in these clinics is Pap screening for the prevention of cervical cancer. There are indications from around the country that cervical cancer is increasing in incidence. The clinics' effectiveness in preventing significant cervical disease is unknown. This study was undertaken to investigate the impact of these new clinics in reducing the toll of cervical disease on the lives of Nicaraguan women. Using methods from medical anthropology and clinical epidemiology, structured and semi-structured interviews, participant observation, STD testing and Pap smears, the activities of women's clinics and the reproductive tract disease burden of their clients were evaluated from October 1995 through July 1996. Clinical examinations were conducted on a random sample of 248 women that regularly utilized the services of three women's clinics in Esteli, Nicaragua. Results show that a significant portion of women with evidence of cervical disease are missed in the existing programs. I conclude that this difficulty reflects the limited operating funds, lack of education, and quality controls found throughout the Nicaraguan health care system, but more importantly it illustrates the difficulties encountered when technology and health care concepts are transferred from one cultural setting to another. All technology, including the Pap smear, embeds a number of unquestioned cultural assumptions that induce unexpected results in translation.",304343056,,Dissertations & Theses," McCue, Maureen F.
McCue
F.
Maureen
McCue, Maureen F.", Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.," 739927551 , 27564541 , 66569 , 9780591410587 , 0591410583 , 9731840 , 9731840", Dissertation/Thesis, 1997," 9780591410587 , 0591410583", English, English,,1997,ProQuest Dissertations and Theses,1997,https://search.proquest.com/docview/304343056?accountid=14496," 0326 Cultural anthropology , 0573 Public health , 0453 Womens studies"," 0326 Cultural anthropology , 0573 Public health , 0453 Womens studies"," 0326 Cultural anthropology , 0573 Public health , 0453 Womens studies",," 0326 Cultural anthropology , 0573 Public health , 0453 Womens studies"," Cultural anthropology , Public health , Womens studies"," Health and environmental sciences , Social sciences , cancer prevention , epidemiology , medical anthropology",http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&amp;genre=dissertations+%26+theses&amp;sid=ProQ:ProQuest+Dissertations+%26+Theses+Global&amp;atitle=&amp;title=Women+in+transition%2C+health+care+in+translation%3A+Nicaraguan+women+and+the+challenge+of+cervical+cancer+prevention&amp;issn=&amp;date=1997-01-01&amp;volume=&amp;issue=&amp;spage=&amp;au=McCue%2C+Maureen+F.&amp;isbn=9780591410587&amp;jtitle=&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,"ProQuest Dissertations & Theses A&I,ProQuest Dissertations & Theses Global"
